"caseid_new","w5_duration","w5_source","w5_complete","w5_status","w5x_qualified","w5x_marry","w5x_last","w5x_year","w5x_civil","w5x_month","w5x_civyear","w5x_civmonth","w5_q1","w5_q2","w5_sex_frequency","w5_p_monogamy","w5_identity","w5_outness","w5_q3","w5_q4","w5_mbtiming_month","w5_mbtiming_year","w5_q5","w5_q6","w5_q7","w5_mar_year","w5_mar_month","w5_q8","w5_civ_year","w5_civ_month","w5_q9","w5_q10","w5_nonmbtiming_year","w5_nonmbtiming_month","w5_broke_up","w5_HCMST_interview_fin_yrmo","w2345_combo_breakup","responded_to_w234or5","pp5_ppage","pp5_ppagecat","pp5_ppagect4","pp5_ppeduc","pp5_ppeducat","pp5_ppethm","pp5_ppgender","pp5_pphhhead","pp5_pphhsize","pp5_pphouse","pp5_ppincimp","pp5_ppmarit","pp5_ppcmdate_yrmo","pp5_newer","pp5_ppmsacat","pp5_ppreg4","pp5_ppreg9","pp5_pprent","pp5_ppt01","pp5_ppt25","pp5_ppt612","pp5_ppt1317","pp5_ppt18ov","pp5_ppwork","pp5_ppnet","ppmarit_2014","ppcmarit_2014_yrmo","ppmarit_2013","ppcmarit_2013_yrmo","ppmarit_2012","ppcmarit_2012_yrmo","ppmarit_2011","ppcmarit_2011_yrmo","ppmarit_2010","ppcmarit_2010_yrmo","ppmarit_2009","ppcmarit_2009_yrmo","ppmarit_2007","ppcmarit_2007_yrmo"
2427431,0,1,1,1,1,1,1,2013,0,3,2013,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412,0,1,48,4,3,12,4,1,1,1,2,1,7,1,201405,1,1,4,8,2,0,0,0,0,2,6,1,1,201405,1,201305,1,201206,1,201107,1,201007,1,200905,1,200710
2428344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,3,2,10,3,4,1,0,1,3,7,3,200905,0,1,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,200905,4,200710
2429371,0,0,0,2,1,1,1,2013,0,4,2013,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,3,2,9,2,1,2,1,2,1,10,1,201309,0,1,3,7,1,0,0,0,0,2,6,1,0,0,1,201309,1,201304,1,201107,1,201007,1,200904,1,200710
2430446,3,1,1,1,1,2,1,2013,0,3,2013,3,0,0,4,2,2,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,201412,0,1,49,4,3,10,3,1,1,0,2,2,11,6,201404,1,1,1,2,1,0,0,0,0,2,6,1,6,201404,6,201305,6,201207,6,201108,6,201007,6,200905,6,200803
2431491,0,0,0,3,1,1,4,2010,0,3,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,5,3,9,2,2,2,0,3,3,11,1,200710,0,1,3,6,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,200710
2432195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,1,10,3,1,2,0,6,1,14,5,201107,0,1,4,8,2,0,0,1,0,5,7,1,0,0,0,0,0,0,5,201107,5,201007,5,200904,5,200711
2433651,0,0,0,2,1,1,3,2011,0,4,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,6,4,7,1,2,1,1,1,1,9,1,201107,0,1,2,3,2,0,0,0,0,1,6,0,0,0,0,0,0,0,1,201107,1,201007,1,200907,1,200710
2434421,0,0,0,2,1,1,1,2013,0,3,2013,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,4,3,12,4,1,1,1,2,1,16,1,201107,0,1,4,9,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,201107,1,201007,1,200904,1,200711
2435561,0,0,0,4,1,1,5,2009,0,2,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5,4,11,3,3,1,1,2,1,15,1,200904,0,1,4,9,1,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,1,200904,1,200711
2436532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,3,12,4,1,2,1,2,1,10,2,201107,0,1,1,2,1,0,0,0,0,2,4,1,0,0,0,0,0,0,2,201107,2,201009,2,200906,2,200711
